,date,open,high,low,close,adj_close,Volume,r_pos_score,r_neu_score,r_neg_score,t_pos_score,t_neu_score,t_neg_score
292,2021-06-08,21.703253,22.271933,19.663782,21.74527,21.74527,2653898124.0,0.0908261121076233,0.8864897892376681,0.0227050358744394,0.0451891838074398,0.9375042822757113,0.017309533916849
293,2021-06-09,21.661722,23.283066,20.435955,23.184938,23.184938,2220005781.0,0.0743239571984435,0.8972578093385214,0.024534073929961,0.0458233801065719,0.9382478916518652,0.0159281758436944
294,2021-06-10,23.200251,24.551924,22.10697,22.684816,22.684816,2114395058.0,0.0955183745173745,0.8629083359073358,0.0416303436293436,0.0450139310344827,0.9420828965517242,0.0129061724137931
295,2021-06-11,22.683626,23.192602,20.51598,20.985857,20.985857,1517304438.0,0.0922945779816513,0.8814964128440367,0.026198247706422,0.0437927570498915,0.9418925401301518,0.0143155336225596
296,2021-06-12,20.963896,21.257568,19.521172,20.777037,20.777037,1455506948.0,0.1180198679245283,0.8584302452830188,0.0235293018867924,0.0460319734513274,0.9362045398230088,0.0177642743362831
297,2021-06-13,20.755634,22.401642,19.99382,22.076334,22.076334,1233102638.0,0.0887167894736842,0.8882167894736842,0.0178115263157894,0.049578868852459,0.9216772295081966,0.0287469016393442
298,2021-06-14,22.044922,26.031012,21.305422,22.205357,22.205357,1232810594.0,0.1075781144278607,0.8692646815920397,0.0231651791044776,0.0558602750533049,0.9255596353944564,0.0185830895522388
299,2021-06-15,25.186892,25.985241,23.6481,24.760836,24.760836,3151346883.0,0.0906894272997032,0.8824193976261128,0.0239386854599406,0.0590212474690663,0.9244948132733408,0.0164824398200224
300,2021-06-16,23.969503,24.540514,22.575315,22.972176,22.972176,1694813679.0,0.1058981962616822,0.8741598785046729,0.016835890965732,0.0484351772151898,0.9366820126582278,0.014880746835443
301,2021-06-17,23.01753,23.996916,22.015537,22.511454,22.511454,1236017502.0,0.107944231441048,0.8649049301310044,0.0271975065502183,0.0623302682926829,0.9172901986062718,0.0203720801393728
302,2021-06-18,22.54719,22.565636,20.273529,21.398895,21.398895,1406342364.0,0.0856891720430107,0.892269817204301,0.0220547634408602,0.1587036431718061,0.8325296343612335,0.0087631145374449
303,2021-06-19,21.450775,21.654121,20.313393,20.355942,20.355942,997553727.0,0.0991149240506329,0.8838364430379747,0.0170474135021097,0.0678061181102362,0.9202805275590552,0.0119124173228346
304,2021-06-20,20.263674,21.017651,18.952503,20.672363,20.672363,1309501356.0,0.1062756781115879,0.8713615150214592,0.0223529313304721,0.0693000430622009,0.9116373636363636,0.0190632009569378
